ticker,rank,name,sector,ind,country,cur,P,mcap_usd,tracks,trackA_hits,trackB_hits,pe_ttm,pe_ntm,pe1,pe2,pe_norm,eps_norm,fpeg,peg2y,e_norm,rg1,rg2,ev_ebit_ttm,ev_ebit_norm,ev_ebit_hist_med,fcfy_norm,fcfy_ttm_sbc,roic,wacc,ke,rote_n,ptbv,om_ttm,om_avg,m_norm,cyc2,crit,v_bear,v_base,v_bull,v_pw,epv,mos,bear_dd,epv_ratio,growth_share,n_implied,dur_ev,n2,disp,rv1m_f2,rv3m_f2,r3m,r12m,nd_ebitda,sh_g,sbc_rev,A,B,C,D,E,F,G,H,total,grade,lens1,lens2,both,factor,excl,risk,dflag
QLYS,,"Qualys, Inc.",Technology,Software - Infrastructure,United States,USD,184.79,6.3928,,,,24.124,22.3214,23.6482,21.8649,32.955,5.6074,2.7367,2.3914,0.0933,0.0985,0.0822,24.9192,24.9192,26.0531,0.0295,0.0369,1.0246,0.0843,0.0846,,,0.3436,0.2896,0.3436,중반,0,81.4823,123.2524,147.7228,118.9275,77.3019,-0.3564,-0.5591,0.4183,0.35,16.0,6.0,22.0,0.0911,0.0043,0.0231,0.4991,0.3522,-1.4562,-0.0408,0.1113,0,0,13.0,11,0,7,8,3,42.0,제외,False,False,False,,,희석/SBC 과다,
NEM,,Newmont Corporation,Basic Materials,Gold,United States,USD,123.55,130.1837,,,,13.3857,12.4027,13.416,12.0636,41.036,3.0108,1.1064,0.5658,0.1121,0.1808,0.0914,8.9088,28.8849,20.951,0.0179,0.074,0.3353,0.0812,0.0826,,,0.5523,0.1703,0.1703,정점 근접,3,44.2386,61.1817,181.3966,86.9997,41.6912,-0.2958,-0.6419,0.3374,0.5208,26.0,3.0,13.0,0.3759,0.0159,-0.0977,0.2852,0.4493,-0.2036,-0.0405,0.0038,0,8,6.0,15,0,0,10,3,42.0,제외,False,False,False,,정점 근접,,
SPGI,,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,United States,USD,406.5,119.8362,,vsHist,,21.5421,20.758,22.7439,20.1046,24.2509,16.7623,1.5812,3.1987,0.0649,-0.0456,0.0677,19.6006,19.6006,30.1236,0.0382,0.0445,0.1206,0.093,0.0984,,,0.4156,0.3267,0.4156,중반,0,138.4726,218.579,257.0673,208.1745,150.2504,-0.4879,-0.6594,0.3696,0.2782,26.0,6.0,23.0,0.0714,-0.001,-0.0899,0.0527,-0.118,1.4581,-0.0346,0.0148,0,8,6.0,11,0,7,10,0,42.0,제외,False,False,False,,,,
NWN,,Northwest Natural Holding Compa,Utilities,Utilities - Regulated Gas,United States,USD,47.23,1.9881,,FCFy,,15.7433,14.8046,15.3444,14.6132,21.1205,2.2362,2.959,2.9449,0.0503,0.0733,0.0544,15.7972,18.3085,18.4532,0.0718,-0.1338,0.0523,0.075,0.0926,,,0.2285,0.1606,0.1971,중반,0,0.0,8.3631,25.8167,10.6357,-3.0705,-0.7748,-1.0,-0.065,1.2887,26.0,5.0,5.0,0.0217,0.0,0.0017,-0.0708,0.0578,5.5198,0.031,0.0,0,12,13.0,2,0,7,5,3,42.0,제외,False,False,False,,,순부채/EBITDA>3x;매출채권·재고 급증,
RMBS,,"Rambus, Inc.",Technology,Semiconductors,United States,USD,103.47,11.2225,,,Rev>Px,38.8313,29.2676,34.0843,27.8052,78.8083,1.3129,1.296,1.2674,0.2309,0.1686,0.1994,38.3316,59.3715,41.8619,0.011,0.0217,0.3347,0.1223,0.1224,,,0.3594,0.232,0.232,정점 근접,2,18.9447,26.3234,59.4918,32.7708,18.2175,-0.6833,-0.8169,0.1761,0.4441,25.0,5.0,8.0,0.2875,0.0066,0.0195,-0.0981,0.0083,-2.5593,0.0134,0.074,0,8,11.0,14,0,0,9,0,42.0,제외,False,False,False,,정점 근접,매출채권·재고 급증,
IAG,,Iamgold Corporation,Basic Materials,Gold,Canada,USD,19.89,11.3572,,,fPEG,9.5167,8.5963,9.3919,8.3335,37.5624,0.5295,0.6769,0.2187,0.127,0.3578,0.1113,6.5153,23.8995,22.9632,0.02,0.1404,0.2977,0.1284,0.1321,,,0.475,0.1295,0.1295,정점 근접,3,5.2811,7.2791,22.3583,10.5494,4.8453,-0.4696,-0.7345,0.2436,0.5407,26.0,3.0,12.0,1.0311,0.0039,-0.0144,0.2533,0.6014,0.0172,0.0055,0.0022,0,8,6.0,15,0,0,10,3,42.0,제외,False,False,False,,정점 근접,,
FTNT,,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,USD,178.74,131.144,,,,54.6606,48.4536,51.8075,47.3136,66.7875,2.6763,5.1014,2.8512,0.1699,0.1941,0.1135,52.2362,52.2362,34.586,0.0145,0.0215,,0.0977,0.0979,,,0.3244,0.2521,0.3244,중반,0,35.5295,55.1298,72.4653,54.5636,32.462,-0.6947,-0.8012,0.1816,0.4051,26.0,5.0,42.0,0.3494,0.0048,0.1027,0.181,1.1198,-1.3772,-0.0424,0.0393,0,0,13.0,9,0,7,10,3,42.0,제외,False,False,False,,,,
EL,,"Estee Lauder Companies, Inc. (T",Consumer Defensive,Household & Personal Products,United States,USD,98.83,35.7566,,,Compress,39.3745,28.5566,29.7374,25.2535,35.5235,2.7821,1.6083,1.1484,0.2487,0.043,0.0432,24.7493,24.7629,31.3064,0.0271,0.0281,0.1316,0.0931,0.1044,,,0.1114,0.097,0.1114,중반,1,18.0012,27.8077,30.956,26.1431,21.4305,-0.7355,-0.8179,0.2168,0.1803,26.0,4.0,27.0,0.207,0.0223,0.017,0.2271,0.1404,2.3243,0.0067,0.0206,0,4,13.0,7,0,7,8,3,42.0,제외,False,False,False,,,,
HLIO,519.0,"Helios Technologies, Inc.",Industrials,Specialty Industrial Machinery,United States,USD,69.52,2.2907,B,,"CAGR+PE,Rev>Px",21.6573,20.0102,21.8084,19.3902,33.1203,2.099,1.6045,1.0909,0.1834,0.0677,0.06,22.1529,23.9901,22.8044,0.0215,0.0424,0.0738,0.0973,0.1039,,,0.1293,0.1174,0.1194,중반,0,12.981,25.6657,31.086,23.8496,17.7732,-0.6569,-0.8133,0.2557,0.2548,26.0,5.0,5.0,0.0139,0.0682,0.0737,-0.2316,0.3184,1.4778,-0.003,0.0072,0,4,13.0,5,0,7,10,3,42.0,제외,False,False,False,,,,
ALNT,,Allient Inc.,Technology,Electronic Components,United States,USD,113.6,1.9308,,,,46.5574,35.8235,41.5017,34.0877,66.6759,1.7038,1.6471,1.4973,0.2393,0.0852,0.0907,40.6227,42.7364,21.5091,0.0121,0.0124,0.0842,0.1179,0.1248,,,0.0894,0.0682,0.0849,중반,1,5.4023,14.4403,18.5468,13.2075,9.5367,-0.8837,-0.9524,0.0839,0.2779,26.0,6.0,5.0,0.108,0.0037,0.0762,0.1636,1.5936,2.0262,0.0142,0.0061,0,4,15.0,5,0,7,8,3,42.0,제외,False,False,False,,,,
